pitcher_name,ERA,IP,G,GS,year
Jaime Garc\xc3\xada,4.4,157.2,27,27,2017
Wade Miley,5.61,157.1,32,32,2017
Taijuan Walker,3.49,157.1,28,28,2017
Chad Kuhl,4.35,157.1,31,31,2017
Miguel Gonz\xc3\xa1lez,4.62,156.0,27,27,2017
Kyle Freeland,4.1,156.0,33,28,2017
Jordan Montgomery,3.88,155.1,29,29,2017
Zack Godley,3.37,155.0,26,25,2017
Mike Foltynewicz,4.79,154.0,29,28,2017
Ian Kennedy,5.38,154.0,30,30,2017
Mike Fiers,5.22,153.1,29,28,2017
Alex Wood,2.72,152.1,27,25,2017
Trevor Williams,4.07,150.1,31,25,2017
CC Sabathia,3.69,148.2,27,27,2017
Cole Hamels,4.2,148.0,24,24,2017
Tyler Chatwood,4.69,147.2,33,25,2017
JC Ramirez,4.15,147.1,27,24,2017
Johnny Cueto,4.52,147.1,25,25,2017
Charlie Morton,3.62,146.2,25,25,2017
Danny Duffy,3.81,146.1,24,24,2017
Dallas Keuchel,2.9,145.2,23,23,2017
Jos\xc3\xa9 Berr\xc3\xados,3.89,145.2,26,25,2017
J.A. Happ,3.53,145.1,25,25,2017
Jake Odorizzi,4.14,143.1,28,28,2017
Bartolo Col\xc3\xb3n,6.48,143.0,28,28,2017
Ubaldo Jim\xc3\xa9nez,6.81,142.2,31,25,2017
Chase Anderson,2.74,141.1,25,25,2017
Josh Tomlin,4.98,141.0,26,26,2017
Kyle Hendricks,3.03,139.2,24,24,2017
Jesse Chavez,5.35,138.0,38,21,2017
Eduardo Rodr\xc3\xadguez,4.19,137.1,25,24,2017
James Paxton,2.98,136.0,24,24,2017
Rich Hill,3.32,135.2,25,25,2017
Matthew Boyd,5.27,135.0,26,25,2017
Derek Holland,6.2,135.0,29,26,2017
Antonio Senzatela,4.68,134.2,36,20,2017
Kenta Maeda,4.22,134.1,29,25,2017
Jameson Taillon,4.44,133.2,25,25,2017
Nick Pivetta,6.02,133.0,26,26,2017
Brad Peacock,3.0,132.0,34,21,2017
Erasmo Ram\xc3\xadrez,4.39,131.1,37,19,2017
Mike Montgomery,3.38,130.2,44,14,2017
Yovani Gallardo,5.72,130.2,28,22,2017
Blake Snell,4.04,129.1,24,24,2017
Jharel Cotton,5.58,129.0,24,24,2017
Jerad Eickhoff,4.71,128.0,24,24,2017
Hyun Jin Ryu,3.77,126.2,25,24,2017
Matt Cain,5.43,124.1,27,23,2017
Adam Wainwright,5.11,123.1,24,23,2017
Tim Adleman,5.52,122.1,30,20,2017
Mike Clevinger,3.11,121.2,27,21,2017
Parker Bridwell,3.64,121.0,21,20,2017
Mike Pelfrey,5.93,120.0,34,21,2017
Robert Gsellman,5.19,119.2,25,22,2017
Joe Biagini,5.34,119.2,44,18,2017
Rafael Montero,5.52,119.0,34,18,2017
Lance McCullers Jr.,4.25,118.2,22,22,2017
James Shields,5.23,117.0,21,21,2017
Dinelson Lamet,4.54,115.0,21,21,2017
Matt Garza,4.94,114.2,24,22,2017
Nick Martinez,5.66,111.1,23,18,2017
Scott Feldman,4.77,111.1,21,21,2017
Madison Bumgarner,3.32,111.0,17,17,2017
Jon Gray,3.65,111.0,20,20,2017
Joe Musgrove,4.77,109.1,38,15,2017
Kendall Graveman,4.19,105.1,19,19,2017
An\xc3\xadbal S\xc3\xa1nchez,6.41,105.1,28,17,2017
Danny Salazar,4.28,103.0,23,19,2017
Adam Conley,6.14,102.2,22,20,2017
Daniel Norris,5.31,101.2,22,18,2017
Seth Lugo,4.71,101.1,19,18,2017
Sean Newcomb,4.32,100.0,19,19,2017
Jeff Hoffman,5.89,99.1,23,16,2017
Jakob Junis,4.3,98.1,20,16,2017
Adalberto Mej\xc3\xada,4.5,98.0,21,21,2017
Francisco Liriano,5.66,97.0,38,18,2017
Michael Pineda,4.39,96.1,17,17,2017
Travis Wood,6.77,94.1,39,14,2017
Chris Tillman,7.84,93.0,24,19,2017
Matt Harvey,6.7,92.2,19,18,2017
Brandon McCarthy,3.98,92.2,19,16,2017
Edinson V\xc3\xb3lquez,4.19,92.1,17,17,2017
Daniel Gossett,6.11,91.1,18,18,2017
Yusmeiro Petit,2.76,91.1,60,1,2017
Homer Bailey,6.43,91.0,18,18,2017
Mark Leiter Jr.,4.96,90.2,27,11,2017
Doug Fister,4.88,90.1,18,15,2017
Luis Castillo,3.12,89.1,15,15,2017
Ben Lively,4.26,88.2,15,15,2017
Zack Wheeler,5.17,87.0,17,17,2017
Sal Romano,4.45,87.0,16,16,2017
Jake Faria,3.43,86.2,16,14,2017
F\xc3\xa9lix Hern\xc3\xa1ndez,4.36,86.2,16,16,2017
Tyler Anderson,4.81,86.0,17,15,2017
Matt Andriese,4.5,86.0,18,17,2017
Tyler Skaggs,4.55,85.0,16,16,2017
Chris Rusin,2.65,85.0,60,0,2017
Robert Stephenson,4.68,84.2,25,11,2017
Trevor Cahill,4.93,84.0,21,14,2017
Michael Lorenzen,4.45,83.0,70,0,2017
Austin Pruitt,5.31,83.0,30,8,2017
Alex Claudio,2.5,82.2,70,1,2017
Brent Suter,3.42,81.2,22,14,2017
Chris Devenski,2.68,80.2,62,0,2017
Craig Stammen,3.14,80.1,60,0,2017
Brad Hand,2.16,79.1,72,0,2017
Mychal Givens,2.75,78.2,69,0,2017
Dustin McGowan,4.75,77.2,63,0,2017
Matt Shoemaker,4.52,77.2,14,14,2017
Ryan Tepera,3.59,77.2,73,0,2017
Mike Minor,2.55,77.2,65,0,2017
Anthony Swarzak,2.33,77.1,70,0,2017
A.J. Griffin,5.94,77.1,18,15,2017
Bryan Shaw,3.52,76.2,79,0,2017
Raisel Iglesias,2.49,76.0,63,0,2017
Corey Knebel,1.78,76.0,76,0,2017
Addison Reed,2.84,76.0,77,0,2017
Edwin Jackson,5.21,76.0,16,13,2017
Blake Treinen,3.93,75.2,72,0,2017
Felipe Vazquez,1.67,75.1,73,0,2017
Hector Neris,3.01,74.2,74,0,2017
David Price,3.38,74.2,16,11,2017
Blake Wood,5.45,74.1,72,0,2017
Sam Gaviglio,4.36,74.1,16,13,2017
Ross Stripling,3.75,74.1,49,2,2017
Joe Ross,5.01,73.2,13,13,2017
Archie Bradley,1.73,73.0,63,0,2017
Tom Koehler,6.69,72.2,27,13,2017
Carlos Torres,4.21,72.2,67,0,2017
Juan Nicasio,2.61,72.1,76,0,2017
Vince Velasquez,5.13,72.0,15,15,2017
Jacob Barnes,4.0,72.0,73,0,2017
Vance Worley,6.91,71.2,24,12,2017
Brandon Kintzler,3.03,71.1,72,0,2017
Luis Garcia,2.65,71.1,66,0,2017
Bronson Arroyo,7.35,71.0,14,14,2017
Tyler Duffey,4.94,71.0,56,0,2017
Amir Garrett,7.39,70.2,16,14,2017
H\xc3\xa9ctor Santiago,5.63,70.1,15,14,2017
Junior Guerra,5.12,70.1,21,14,2017
Dominic Leone,2.56,70.1,65,0,2017
Dylan Covey,7.71,70.0,18,12,2017
Jesse Hahn,5.3,69.2,14,13,2017
Jordan Lyles,7.75,69.2,38,5,2017
Matt Barnes,3.88,69.2,70,0,2017
Austin Bibens-Dirkx,4.67,69.1,24,6,2017
Carlos Rod\xc3\xb3n,4.15,69.1,12,12,2017
Chad Green,1.83,69.0,40,1,2017
Craig Kimbrel,1.43,69.0,67,0,2017
Scott Alexander,2.48,69.0,58,0,2017
Jos\xc3\xa9 Torres,4.21,68.1,62,0,2017
David Robertson,1.84,68.1,61,0,2017
Kenley Jansen,1.32,68.1,65,0,2017
Wade LeBlanc,4.5,68.0,50,0,2017
Brad Brach,3.18,68.0,67,0,2017
Cory Gearrin,1.99,68.0,68,0,2017
Shane Greene,2.66,67.2,71,0,2017
Alex Meyer,3.74,67.1,13,13,2017
Blake Parker,2.54,67.1,71,0,2017
Brett Cecil,3.88,67.1,73,0,2017
Cody Allen,2.94,67.1,69,0,2017
Steven Matz,6.08,66.2,13,13,2017
Tony Watson,3.38,66.2,71,0,2017
Alex Colom\xc3\xa9,3.24,66.2,65,0,2017
Miguel Castro,3.53,66.1,39,1,2017
George Kontos,3.39,66.1,65,0,2017
Carl Edwards Jr.,2.98,66.1,73,0,2017
Edwin D\xc3\xadaz,3.27,66.0,66,0,2017
Kyle Barraclough,3.0,66.0,66,0,2017
Danny Barnes,3.55,66.0,60,0,2017
Ryan Buchter,2.89,65.1,71,0,2017
Jeremy Jeffress,4.68,65.1,61,1,2017
Paul Sewald,4.55,65.1,57,0,2017
Andrew Triggs,4.27,65.1,12,12,2017
Wandy Peralta,3.76,64.2,69,0,2017
Chris Beck,6.4,64.2,57,0,2017
Nick Vincent,3.2,64.2,69,0,2017
Zach Eflin,6.16,64.1,11,11,2017
Liam Hendriks,4.22,64.0,70,0,2017
Roberto Osuna,3.38,64.0,66,0,2017
Pedro B\xc3\xa1ez,2.95,64.0,66,0,2017
Collin McHugh,3.55,63.1,12,12,2017
Richard Bleier,1.99,63.1,57,0,2017
Tommy Kahnle,2.59,62.2,69,0,2017
Ken Giles,2.3,62.2,63,0,2017
Andrew Miller,1.44,62.2,57,0,2017
Warwick Saupold,4.88,62.2,45,0,2017
Randall Delgado,3.59,62.2,26,5,2017
Dan Jennings,3.45,62.2,77,0,2017
Brian Duensing,2.74,62.1,68,0,2017
Chad Bell,6.93,62.1,28,4,2017
Asher Wojciechowski,6.5,62.1,25,8,2017
Pat Neshek,1.59,62.1,71,0,2017
Bud Norris,4.21,62.0,59,3,2017
Tyler Glasnow,7.69,62.0,15,13,2017
Jos\xc3\xa9 Ram\xc3\xadrez,3.19,62.0,68,0,2017
Heath Hembree,3.63,62.0,62,0,2017
Zach McAllister,2.61,62.0,50,0,2017
Daniel Hudson,4.38,61.2,71,0,2017
Hunter Strickland,2.64,61.1,68,0,2017
Ryan Pressly,4.7,61.1,57,0,2017
Matt Albers,1.62,61.0,63,0,2017
Luke Gregerson,4.57,61.0,65,0,2017
Tyler Clippard,4.77,60.1,67,0,2017
Luke Weaver,3.88,60.1,13,10,2017
Matt Belisle,4.03,60.1,62,0,2017
Pedro Strop,2.83,60.1,69,0,2017
Darren O\'Day,3.43,60.1,64,0,2017
Sam Freeman,2.55,60.0,58,0,2017
Alec Asher,5.25,60.0,24,6,2017
Alex Wilson,4.5,60.0,66,0,2017
Dan Otero,2.85,60.0,52,0,2017
Chris Hatcher,4.22,59.2,49,0,2017
Jared Hughes,3.02,59.2,67,0,2017
Dellin Betances,2.87,59.2,66,0,2017
Brandon Maurer,6.52,59.1,68,0,2017
Kelvin Herrera,4.25,59.1,64,0,2017
Peter Moylan,3.49,59.1,79,0,2017
Seunghwan Oh,4.1,59.1,62,0,2017
Andrew Moore,5.34,59.0,11,9,2017
Ryan Madson,1.83,59.0,60,0,2017
Santiago Casilla,4.27,59.0,63,0,2017
Chris Stratton,3.68,58.2,13,10,2017
AJ Ramos,3.99,58.2,61,0,2017
Wade Davis,2.3,58.2,59,0,2017
Paul Blackburn,3.22,58.2,10,10,2017
Tommy Hunter,2.61,58.2,61,0,2017
Fernando Salas,5.22,58.2,61,0,2017
Matt Bowman,3.99,58.2,75,0,2017
Keynan Middleton,3.86,58.1,64,0,2017
Jhan Mari\xc3\xb1ez,3.7,58.1,43,0,2017
Odrisamer Despaigne,4.01,58.1,18,8,2017
Scott Oberg,4.94,58.1,66,0,2017
Joe Kelly,2.79,58.0,54,0,2017
Justin Wilson,3.41,58.0,65,0,2017
Aaron Loup,3.75,57.2,70,0,2017
Lucas Sims,5.62,57.2,14,10,2017
Edubray Ramos,4.21,57.2,59,0,2017
David Holmberg,4.68,57.2,37,7,2017
Greg Holland,3.61,57.1,61,0,2017
Tony Barnette,5.49,57.1,50,0,2017
Wily Peralta,7.85,57.1,19,8,2017
Arodys Vizca\xc3\xadno,2.83,57.1,62,0,2017
Jake McGee,3.61,57.1,62,0,2017
Chase Whitley,4.08,57.1,41,0,2017
H\xc3\xa9ctor Rond\xc3\xb3n,4.24,57.1,61,0,2017
Adam Warren,2.35,57.1,46,0,2017
Josh Fields,2.84,57.0,57,0,2017
Hansel Robles,4.92,56.2,46,0,2017
Kirby Yates,3.97,56.2,62,0,2017
Jim Johnson,5.56,56.2,61,0,2017
Josh Smoker,5.11,56.1,54,0,2017
Joakim Soria,3.7,56.0,59,0,2017
Junichi Tazawa,5.63,56.0,55,0,2017
Oliver Drake,4.66,56.0,64,0,2017
Chris Smith,6.79,55.2,14,9,2017
Enny Romero,3.56,55.2,53,0,2017
David Phelps,3.4,55.2,54,0,2017
Sergio Romo,3.56,55.2,55,0,2017
Taylor Rogers,3.07,55.2,69,0,2017
Justin Grimm,5.53,55.1,50,0,2017
Brett Anderson,6.34,55.1,13,13,2017
Casey Lawrence,6.34,55.1,27,2,2017
Fernando Rodney,4.23,55.1,61,0,2017
David Hernandez,3.11,55.0,64,0,2017
Adam Morgan,4.12,54.2,37,0,2017
Gregory Infante,3.13,54.2,52,0,2017
Sam Dyson,6.09,54.2,55,0,2017
Eddie Butler,3.95,54.2,13,11,2017
Drew Storen,4.45,54.2,58,0,2017
Nick Goody,2.8,54.2,56,0,2017
Francis Martes,5.8,54.1,32,4,2017
Christian Bergman,5.0,54.0,13,8,2017
Tyler Lyons,2.83,54.0,50,0,2017
T.J. McFarland,5.33,54.0,43,1,2017
Joe Smith,3.33,54.0,59,0,2017
James Pazos,3.86,53.2,59,0,2017
Phil Hughes,5.87,53.2,14,9,2017
Adam Ottavino,5.06,53.1,63,0,2017
Jarl\xc3\xadn Garc\xc3\xada,4.73,53.1,68,0,2017
Matt Bush,3.78,52.1,57,0,2017
A.J. Cole,3.81,52.0,11,8,2017
Danny Coulombe,3.48,51.2,72,0,2017
John Brebbia,2.44,51.2,50,0,2017
Jorge De La Rosa,4.21,51.1,65,0,2017
Sean Doolittle,2.81,51.1,53,0,2017
Andrew Chafin,3.51,51.1,71,0,2017
Luke Jackson,4.62,50.2,43,0,2017
Emilio Pag\xc3\xa1n,3.22,50.1,34,0,2017
Mike Dunn,4.47,50.1,68,0,2017
Aroldis Chapman,3.22,50.1,52,0,2017
Joaqu\xc3\xadn Benoit,4.65,50.1,52,0,2017
Matt Grace,4.32,50.0,40,1,2017
Dillon Gee,3.47,49.1,18,4,2017
Danny Farquhar,4.2,49.1,52,0,2017
James Hoyt,4.38,49.1,43,0,2017
Tyson Ross,7.71,49.0,12,10,2017
Jerry Blevins,2.94,49.0,75,0,2017
Ian Krol,5.33,49.0,51,0,2017
Jos\xc3\xa9 \xc3\x81lvarez,3.88,48.2,64,0,2017
Tommy Milone,7.63,48.1,17,8,2017
Chris Flexen,7.88,48.0,14,9,2017
Justin Nicolino,5.06,48.0,20,8,2017
Buck Farmer,6.75,48.0,11,11,2017
Michael Feliz,5.63,48.0,46,0,2017
Josh Hader,2.08,47.2,35,0,2017
Trevor Rosenthal,3.4,47.2,50,0,2017
Reynaldo L\xc3\xb3pez,4.72,47.2,8,8,2017
Brad Ziegler,4.79,47.0,53,0,2017
Dan Altavilla,4.24,46.2,41,0,2017
Jos\xc3\xa9 Leclerc,3.88,46.1,47,0,2017
Jake Thompson,3.88,46.1,11,8,2017
Chad Bettis,5.05,46.1,9,9,2017
Neftal\xc3\xad Feliz,5.48,46.0,49,0,2017
Luis Avil\xc3\xa1n,2.93,46.0,61,0,2017
Lucas Giolito,2.38,45.1,7,7,2017
Nate Karns,4.17,45.1,9,8,2017
Chasen Shreve,3.77,45.1,44,0,2017
Will Harris,2.98,45.1,46,0,2017
Kevin McCarthy,3.2,45.0,33,0,2017
Steve Cishek,2.01,44.2,49,0,2017
Cam Bedrosian,4.43,44.2,48,0,2017
Brian Ellington,7.25,44.2,42,0,2017
Joe Blanton,5.68,44.1,51,0,2017
Fernando Abad,3.3,43.2,48,0,2017
Donnie Hart,3.71,43.2,51,0,2017
Juan Minaya,4.53,43.2,40,0,2017
Brandon Morrow,2.06,43.2,45,0,2017
Josh Osich,6.23,43.1,54,0,2017
Koji Uehara,3.98,43.0,49,0,2017
Daniel Mengden,3.14,43.0,7,7,2017
Brandon Woodruff,4.81,43.0,8,8,2017
Phil Maton,4.19,43.0,46,0,2017
Tony Cingrani,4.22,42.2,47,0,2017
Jered Weaver,7.44,42.1,9,9,2017
Sam Tuivailala,2.55,42.1,37,0,2017
Nick Wittgren,4.68,42.1,38,0,2017
Ryan Dull,5.14,42.0,49,0,2017
Trevor Hildenberger,3.21,42.0,37,0,2017
Miguel D\xc3\xadaz,7.34,41.2,31,3,2017
Blaine Boyer,4.35,41.1,32,0,2017
Mike Bolsinger,6.31,41.1,11,5,2017
J.J. Hoover,3.92,41.1,52,0,2017
Andrew Albers,3.51,41.0,9,6,2017
Jason Motte,3.54,40.2,46,0,2017
Tony Zych,2.66,40.2,45,0,2017
Jason Grilli,6.3,40.0,46,0,2017
Marco Gonzales,6.08,40.0,11,8,2017
Brandon Workman,3.18,39.2,33,0,2017
Jonathan Holder,3.89,39.1,37,0,2017
Kevin Siegrist,4.81,39.1,46,0,2017
Jacob Turner,5.08,39.0,18,2,2017
Keone Kela,2.79,38.2,39,0,2017
Daniel Stumpf,3.82,37.2,55,0,2017
Derek Law,5.06,37.1,41,0,2017
Zack Britton,2.89,37.1,38,0,2017
Tony Sipp,5.79,37.1,46,0,2017
Josh Edgin,3.65,37.0,46,0,2017
Sim\xc3\xb3n Castro,4.38,37.0,26,0,2017
Lisalverto Bonilla,8.1,36.2,10,4,2017
Luis Cessa,4.75,36.0,10,5,2017
Aaron Sanchez,4.25,36.0,8,8,2017
Robby Scott,3.79,35.2,57,0,2017
Craig Breslow,5.09,35.1,37,0,2017
Josh A. Smith,4.89,35.0,26,0,2017
Buddy Boshers,4.89,35.0,38,0,2017
Steven Brault,4.67,34.2,11,4,2017
Drew Steckenrider,2.34,34.2,37,0,2017
Matt Strahm,5.45,34.2,24,3,2017
Gabriel Ynoa,4.15,34.2,9,4,2017
Brock Stewart,3.41,34.1,17,4,2017
Drew VerHagen,5.77,34.1,24,2,2017
F\xc3\xa9lix Pe\xc3\xb1a,5.24,34.1,25,0,2017
Chasen Bradford,3.74,33.2,28,0,2017
Blaine Hardy,5.94,33.1,35,0,2017
\xc3\x93liver P\xc3\xa9rez,4.64,33.0,50,0,2017
Wei-Yin Chen,3.82,33.0,9,5,2017
Chris O\'Grady,4.36,33.0,13,6,2017
Austin Brice,4.96,32.2,22,0,2017
Bryan Mitchell,5.79,32.2,20,1,2017
Kyle Crick,3.06,32.1,30,0,2017
Matt Wisler,8.35,32.1,20,1,2017
Carlos Est\xc3\xa9vez,5.57,32.1,35,0,2017
Frankie Montas,7.03,32.0,23,0,2017
A.J. Schugel,1.97,32.0,32,0,2017
Jeff Locke,8.16,32.0,7,7,2017
Alan Busenitz,1.99,31.2,28,0,2017
Albert Su\xc3\xa1rez,5.12,31.2,18,0,2017
Michael Brady,5.68,31.2,16,0,2017
Marc Rzepczynski,4.02,31.1,64,0,2017
Dillon Peters,5.17,31.1,6,6,2017
Hoby Milner,2.01,31.1,37,0,2017
Neil Ram\xc3\xadrez,7.18,31.1,29,0,2017
Hisashi Iwakuma,4.35,31.0,6,6,2017
Kevin Shackelford,4.7,30.2,26,0,2017
C\xc3\xa9sar Valdez,7.63,30.2,11,4,2017
Noah Syndergaard,2.97,30.1,7,7,2017
Chris Young,7.5,30.0,14,2,2017
Jumbo D\xc3\xadaz,5.7,30.0,31,0,2017
Mark Melancon,4.5,30.0,32,0,2017
Jos\xc3\xa9 Alvarado,3.64,29.2,35,0,2017
Ricardo Pinto,7.89,29.2,25,0,2017
Brad Boxberger,3.38,29.1,30,0,2017
Luiz Gohara,4.91,29.1,5,5,2017
David Paulino,6.52,29.0,6,6,2017
Erik Goeddel,5.28,29.0,33,0,2017
Michael Ynoa,5.9,29.0,22,0,2017
Johnny Barbato,4.08,28.2,24,0,2017
Chase De Jong,6.35,28.1,7,4,2017
Garrett Richards,2.28,27.2,6,6,2017
Brian Johnson,4.33,27.0,5,5,2017
Joely Rodr\xc3\xadguez,6.33,27.0,26,0,2017
Steven Okert,5.67,27.0,44,0,2017
Jake Barrett,5.0,27.0,28,0,2017
Kevin Quackenbush,7.86,26.1,20,0,2017
Tom Wilhelmsen,4.44,26.1,27,0,2017
Max Fried,3.81,26.0,9,4,2017
Sammy Sol\xc3\xads,5.88,26.0,30,0,2017
Shawn Kelley,7.27,26.0,33,0,2017
Jake Petricka,7.01,25.2,27,0,2017
Anthony Banda,5.96,25.2,8,4,2017
Francisco Rodr\xc3\xadguez,7.82,25.1,28,0,2017
Dovydas Neverauskas,3.91,25.1,24,0,2017
Deolis Guerra,4.68,25.0,19,0,2017
Mike Wright Jr.,5.76,25.0,13,0,2017
Jackson Stephens,4.68,25.0,7,4,2017
Braden Shipley,5.76,25.0,10,3,2017
H\xc3\xa9ctor Vel\xc3\xa1zquez,2.92,24.2,8,3,2017
Shawn Armstrong,4.38,24.2,21,0,2017
Jeurys Familia,4.38,24.2,26,0,2017
Ariel Hern\xc3\xa1ndez,5.18,24.1,19,0,2017
Steven Wright,8.25,24.0,5,5,2017
Ra\xc3\xbal Alc\xc3\xa1ntara,7.13,24.0,8,4,2017
Rookie Davis,8.63,24.0,7,6,2017
Paolo Espino,6.0,24.0,12,2,2017
Jarred Cosart,4.88,24.0,7,6,2017
Rex Brothers,7.23,23.2,27,0,2017
Troy Scribner,4.18,23.2,10,4,2017
Grant Dayton,4.94,23.2,29,0,2017
Carson Fulmer,3.86,23.1,7,5,2017
Julio Ur\xc3\xadas,5.4,23.1,5,5,2017
Dillon Overton,6.65,23.0,10,2,2017
Eduardo Paredes,4.43,22.1,18,0,2017
Jeanmar G\xc3\xb3mez,7.25,22.1,18,0,2017
Rob Scahill,4.43,22.1,18,0,2017
Matt Dermody,4.43,22.1,23,0,2017
Shelby Miller,4.09,22.0,4,4,2017
Tyler Pill,5.32,22.0,7,3,2017
Ryan Garton,4.91,22.0,20,0,2017
Aaron Bummer,4.5,22.0,30,0,2017
Andrew Heaney,7.06,21.2,5,5,2017
Jack Flaherty,6.33,21.1,6,5,2017
John Axford,6.43,21.0,22,0,2017
Bryan Morris,6.43,21.0,20,0,2017
Boone Logan,4.71,21.0,38,0,2017
Javy Guerra,3.0,21.0,16,0,2017
Michael Tonkin,5.14,21.0,16,0,2017
Ryan Merritt,1.74,20.2,5,4,2017
Jimmy Yacabonis,4.35,20.2,14,0,2017
Silvino Bracho,5.66,20.2,21,0,2017
Giovanny Gallegos,4.87,20.1,16,0,2017
Mike Morin,7.2,20.0,16,0,2017
Tyler Olson,0.0,20.0,30,0,2017
Tyler Mahle,2.7,20.0,4,4,2017
Ryne Stanek,5.85,20.0,21,0,2017
Daniel Wright,4.58,19.2,5,2,2017
Chris Volstad,4.66,19.1,6,2,2017
Koda Glover,5.12,19.1,23,0,2017
Kyle McGrath,2.84,19.0,17,0,2017
Joe Jim\xc3\xa9nez,12.32,19.0,24,0,2017
Chris Rowley,6.75,18.2,6,3,2017
Miguel Socolovich,8.68,18.2,15,0,2017
Caleb Smith,7.71,18.2,9,2,2017
Zach Duke,3.93,18.1,27,0,2017
Jesen Therrien,8.35,18.1,15,0,2017
Eric O\'Flaherty,7.85,18.1,22,0,2017
Al Alburquerque,2.5,18.0,21,0,2017
Jos\xc3\xa9 Valdez,8.5,18.0,14,0,2017
Justin Haley,6.0,18.0,10,0,2017
Edgar Santana,3.5,18.0,19,0,2017
Eric Skoglund,9.5,18.0,7,5,2017
Cody Reed,5.09,17.2,12,1,2017
Nik Turley,11.21,17.2,10,3,2017
Buddy Baumann,2.55,17.2,23,0,2017
Ben Taylor,5.19,17.1,14,0,2017
John Gant,4.67,17.1,7,2,2017
Austin Maddox,0.52,17.1,13,0,2017
Tim Mayza,6.88,17.0,19,0,2017
Josh Collmenter,9.0,17.0,11,0,2017
Chad Qualls,5.4,16.2,19,0,2017
Carlos Ram\xc3\xadrez,2.7,16.2,12,0,2017
Luis Santos,2.7,16.2,10,0,2017
Josh Ravin,6.48,16.2,14,0,2017
Dario \xc3\x81lvarez,2.76,16.1,20,0,2017
Yacksel R\xc3\xados,4.41,16.1,13,0,2017
Reymin Guduan,7.88,16.0,22,0,2017
Jeff Beliveau,7.47,15.2,19,0,2017
Nick Tepesch,5.17,15.2,4,4,2017
Jonathan Broxton,6.89,15.2,20,0,2017
Bruce Rond\xc3\xb3n,10.91,15.2,21,0,2017
Andrew Kittredge,1.76,15.1,15,0,2017
Tyler Wilson,7.04,15.1,9,1,2017
Aaron Slegers,6.46,15.1,4,3,2017
Erick Fedde,9.39,15.1,3,3,2017
Mat Latos,6.6,15.0,3,3,2017
A.J. Minter,3.0,15.0,16,0,2017
Vidal Nu\xc3\xb1o III,10.43,14.2,12,0,2017
