pitcher_name,ERA,IP,G,GS,year
Daniel Ponce de Leon,4.96,32.2,9,8,2020
Jaime Barria,3.62,32.1,7,5,2020
Josh Fleming,2.78,32.1,7,5,2020
Ian Anderson,1.95,32.1,6,6,2020
Trevor Richards,5.91,32.0,9,4,2020
Matt Andriese,4.5,32.0,16,1,2020
Tarik Skubal,5.63,32.0,8,7,2020
Brandon Bielak,6.75,32.0,12,6,2020
Cal Quantrill,2.25,32.0,18,3,2020
Gio Gonzalez,4.83,31.2,12,4,2020
Brent Suter,3.13,31.2,16,4,2020
Julio Teheran,10.05,31.1,10,9,2020
Merrill Kelly,2.59,31.1,5,5,2020
Jonathan Hern\xc3\xa1ndez,2.9,31.0,27,0,2020
Steven Matz,9.68,30.2,9,6,2020
Phillips Vald\xc3\xa9z,3.26,30.1,24,0,2020
Scott Barlow,4.2,30.0,32,0,2020
Chris Mazza,4.8,30.0,9,6,2020
Chris Stratton,3.9,30.0,27,0,2020
Mike Mayers,2.1,30.0,29,0,2020
Jos\xc3\xa9 Cisnero,3.03,29.2,29,0,2020
Jos\xc3\xa9 Urquidy,2.73,29.2,5,5,2020
Daniel Castano,3.03,29.2,7,6,2020
Freddy Peralta,3.99,29.1,15,1,2020
Austin Gomber,1.86,29.0,14,4,2020
Tyler Matzek,2.79,29.0,21,0,2020
Zack Godley,8.16,28.2,8,7,2020
Matt Foster,2.2,28.2,23,2,2020
Matt Shoemaker,4.71,28.2,6,6,2020
Greg Holland,1.91,28.1,28,0,2020
Casey Mize,6.99,28.1,7,7,2020
Trevor Rogers,6.11,28.0,7,7,2020
Tyler Rogers,4.5,28.0,29,0,2020
Adam Plutko,4.88,27.2,10,4,2020
Michael Fulmer,8.78,27.2,10,10,2020
Yency Almonte,2.93,27.2,24,0,2020
Shane Greene,2.6,27.2,28,0,2020
Daniel Norris,3.25,27.2,14,1,2020
Wandy Peralta,3.29,27.1,25,0,2020
Grant Dayton,2.3,27.1,18,0,2020
James Karinchak,2.67,27.0,27,0,2020
Devin Williams,0.33,27.0,22,0,2020
Jimmy Cordero,6.08,26.2,30,0,2020
Michael Pineda,3.38,26.2,5,5,2020
F\xc3\xa9lix Pe\xc3\xb1a,4.05,26.2,25,0,2020
Michael King,7.76,26.2,9,4,2020
Robbie Erlin,8.1,26.2,9,5,2020
Jeurys Familia,3.71,26.2,25,0,2020
Pete Fairbanks,2.7,26.2,27,2,2020
Ty Buttrey,5.81,26.1,27,0,2020
Ryan Thompson,4.44,26.1,25,1,2020
Thomas Hatch,2.73,26.1,17,1,2020
Luke Jackson,6.84,26.1,19,0,2020
Drew Smyly,3.42,26.1,7,5,2020
Josh A. Smith,6.84,26.1,16,1,2020
Reynaldo L\xc3\xb3pez,6.49,26.1,8,8,2020
Tyler Clippard,2.77,26.0,26,2,2020
Stefan Crichton,2.42,26.0,26,0,2020
Aaron Slegers,3.46,26.0,11,1,2020
Lucas Sims,2.45,25.2,20,0,2020
Elieser Hern\xc3\xa1ndez,3.16,25.2,6,6,2020
Shun Yamaguchi,8.06,25.2,17,0,2020
Blake Treinen,3.86,25.2,27,0,2020
Josh Staumont,2.45,25.2,26,0,2020
Travis Lakins Sr.,2.81,25.2,22,0,2020
Edwin D\xc3\xadaz,1.75,25.2,26,0,2020
Anthony Bass,3.51,25.2,26,0,2020
Keegan Akin,4.56,25.2,8,6,2020
Colten Brewer,5.61,25.2,11,4,2020
Chad Green,3.51,25.2,22,0,2020
Jakob Junis,6.39,25.1,8,6,2020
Liam Hendriks,1.78,25.1,24,0,2020
Matt Wisler,1.07,25.1,18,4,2020
J.B. Wendelken,1.8,25.0,21,0,2020
Ryan Brasier,3.96,25.0,25,1,2020
Trevor Cahill,3.24,25.0,11,6,2020
Aaron Loup,2.52,25.0,24,0,2020
John Curtiss,1.8,25.0,17,3,2020
Chasen Shreve,3.96,25.0,17,0,2020
Miguel Castro,4.01,24.2,26,0,2020
Daniel Bard,3.65,24.2,23,0,2020
Kyle Finnegan,2.92,24.2,25,0,2020
Tommy Hunter,4.01,24.2,24,0,2020
Johan Oviedo,5.47,24.2,5,5,2020
Dylan Floro,2.59,24.1,25,0,2020
Touki Toussaint,8.88,24.1,7,5,2020
Brandon Kintzler,2.22,24.1,24,0,2020
Spencer Howard,5.92,24.1,6,6,2020
Kenley Jansen,3.33,24.1,27,0,2020
Craig Stammen,5.63,24.0,24,0,2020
Tyler Duffey,1.88,24.0,22,0,2020
Rafael Dolis,1.5,24.0,24,0,2020
Jorge Alcala,2.63,24.0,16,0,2020
Carlos Est\xc3\xa9vez,7.5,24.0,26,0,2020
Ryne Harper,7.61,23.2,23,0,2020
Junior Guerra,3.04,23.2,25,0,2020
Andre Scrubb,1.9,23.2,20,0,2020
Wander Suero,3.8,23.2,22,0,2020
Codi Heuer,1.52,23.2,21,0,2020
Trevor Rosenthal,1.9,23.2,23,0,2020
Nick Wittgren,3.42,23.2,25,0,2020
Tyler Kinley,5.32,23.2,24,0,2020
Richard Rodr\xc3\xadguez,2.7,23.1,24,0,2020
A.J. Cole,3.09,23.1,24,0,2020
Jos\xc3\xa9 Ure\xc3\xb1a,5.4,23.1,5,5,2020
Trevor May,3.86,23.1,24,0,2020
Eric Yardley,1.54,23.1,24,0,2020
Lou Trivino,3.86,23.1,20,0,2020
Jeremy Jeffress,1.54,23.1,22,0,2020
Brusdar Graterol,3.09,23.1,23,2,2020
Jonathan Loaisiga,3.52,23.0,12,3,2020
Gregory Soto,4.3,23.0,27,0,2020
Matt Barnes,4.3,23.0,24,0,2020
Kyle Zimmer,1.57,23.0,16,1,2020
Raisel Iglesias,2.74,23.0,22,0,2020
Cole Sulser,5.56,22.2,19,0,2020
Evan Marshall,2.38,22.2,23,0,2020
Joe Jim\xc3\xa9nez,7.15,22.2,25,0,2020
Kyle Cody,1.59,22.2,8,5,2020
Mark Melancon,2.78,22.2,23,0,2020
Joakim Soria,2.82,22.1,22,0,2020
Caleb Baragar,4.03,22.1,24,1,2020
Wade LeBlanc,8.06,22.1,6,6,2020
Alex Colom\xc3\xa9,0.81,22.1,21,0,2020
Hector Neris,4.43,22.1,24,0,2020
G\xc3\xa9nesis Cabrera,2.42,22.1,19,0,2020
Nick Vincent,4.43,22.1,21,0,2020
Wes Benjamin,4.84,22.1,8,1,2020
Jared Hughes,4.84,22.1,18,0,2020
Mychal Givens,3.63,22.1,22,0,2020
Geoff Hartlieb,3.63,22.1,21,0,2020
Tyler Zuber,4.09,22.0,23,0,2020
Emilio Pag\xc3\xa1n,4.5,22.0,22,0,2020
Paul Fry,2.45,22.0,22,0,2020
Jake Newberry,4.09,22.0,20,0,2020
Brad Hand,2.05,22.0,23,0,2020
Ryan Pressly,3.32,21.2,23,0,2020
Nik Turley,4.98,21.2,25,0,2020
Luis Cessa,3.32,21.2,16,0,2020
Diego Castillo,1.66,21.2,22,0,2020
Jonathan Holder,4.98,21.2,18,0,2020
A.J. Minter,0.83,21.2,22,0,2020
Phil Maton,4.57,21.2,23,0,2020
Tyler Webb,2.08,21.2,21,0,2020
Mitch Keller,2.91,21.2,5,5,2020
Yusmeiro Petit,1.66,21.2,26,0,2020
Huascar Ynoa,5.82,21.2,9,5,2020
Bryan Garcia,1.66,21.2,26,0,2020
Adbert Alzolay,2.95,21.1,6,4,2020
Jeff Hoffman,9.28,21.1,16,0,2020
Buck Farmer,3.8,21.1,23,0,2020
Jake Diekman,0.42,21.1,21,0,2020
Sam Howard,3.86,21.0,22,0,2020
Rony Garc\xc3\xada,8.14,21.0,15,2,2020
No\xc3\xa9 Ramirez,3.0,21.0,21,0,2020
Jake Woodford,5.57,21.0,12,1,2020
Anthony Kay,5.14,21.0,13,0,2020
Blake Taylor,2.18,20.2,22,0,2020
Matt Strahm,2.61,20.2,19,0,2020
Duane Underwood Jr.,5.66,20.2,17,0,2020
Yohan Ram\xc3\xadrez,2.61,20.2,16,0,2020
Ryan Tepera,3.92,20.2,21,0,2020
Daniel Hudson,6.1,20.2,21,0,2020
Enoli Paredes,3.05,20.2,22,0,2020
T.J. McFarland,4.35,20.2,23,0,2020
David Phelps,6.53,20.2,22,0,2020
Tanner Scott,1.31,20.2,25,0,2020
Nick Nelson,4.79,20.2,11,0,2020
Dan Altavilla,5.75,20.1,22,0,2020
Jeffrey Springs,7.08,20.1,16,0,2020
Victor Gonz\xc3\xa1lez,1.33,20.1,15,1,2020
Jake McGee,2.66,20.1,24,0,2020
James Paxton,6.64,20.1,5,5,2020
Tanner Rainey,2.66,20.1,20,0,2020
H\xc3\xa9ctor Rond\xc3\xb3n,7.65,20.0,23,0,2020
Pierce Johnson,2.7,20.0,24,0,2020
Jairo D\xc3\xadaz,7.65,20.0,24,0,2020
Taylor Rogers,4.05,20.0,21,0,2020
Steve Cishek,5.4,20.0,22,0,2020
Anthony Misiewicz,4.05,20.0,21,0,2020
Sergio Romo,4.05,20.0,24,0,2020
Carlos Mart\xc3\xadnez,9.9,20.0,5,5,2020
Taylor Widener,4.5,20.0,12,0,2020
Brooks Raley,4.95,20.0,21,0,2020
Caleb Thielbar,2.25,20.0,17,0,2020
Jimmy Herget,3.2,19.2,20,1,2020
Jace Fry,3.66,19.2,18,0,2020
Justin Wilson,3.66,19.2,23,0,2020
Alex Reyes,3.2,19.2,15,1,2020
Yoan L\xc3\xb3pez,5.95,19.2,20,0,2020
Austin Brice,5.95,19.2,21,1,2020
Chi Chi Gonz\xc3\xa1lez,6.86,19.2,6,4,2020
Ross Detwiler,3.2,19.2,16,0,2020
Brandon Workman,5.95,19.2,21,0,2020
Jalen Beeks,3.26,19.1,12,0,2020
Adri\xc3\xa1n Morej\xc3\xb3n,4.66,19.1,9,4,2020
Casey Sadler,5.12,19.1,17,0,2020
Sam Selman,3.72,19.1,24,0,2020
Heath Hembree,9.0,19.0,22,0,2020
Alex Claudio,4.26,19.0,20,0,2020
Dovydas Neverauskas,7.11,19.0,17,0,2020
Iv\xc3\xa1n Nova,8.53,19.0,4,4,2020
Adam Kolarek,0.95,19.0,20,0,2020
Zack Britton,1.89,19.0,20,0,2020
Josh Hader,3.79,19.0,21,0,2020
Nate Jones,6.27,18.2,21,0,2020
Kendall Graveman,5.79,18.2,11,2,2020
Caleb Ferguson,2.89,18.2,21,1,2020
Dean Kremer,4.82,18.2,4,4,2020
Drew Pomeranz,1.45,18.2,20,0,2020
Tyler Chatwood,5.3,18.2,5,5,2020
Riley Smith,1.47,18.1,6,0,2020
Amir Garrett,2.45,18.1,21,0,2020
Josh Osich,6.38,18.1,17,1,2020
Archie Bradley,2.95,18.1,16,0,2020
Adam Ottavino,5.89,18.1,24,0,2020
Jarl\xc3\xadn Garc\xc3\xada,0.49,18.1,19,0,2020
Dan Winkler,2.95,18.1,18,0,2020
Cam Hill,4.91,18.1,18,0,2020
Brad Boxberger,3.0,18.0,23,0,2020
Tim Hill,4.5,18.0,23,0,2020
Jacob Barnes,5.5,18.0,18,0,2020
Nate Pearson,6.0,18.0,5,4,2020
Chris Martin,1.0,18.0,18,0,2020
Tony Watson,2.5,18.0,21,0,2020
\xc3\x93liver P\xc3\xa9rez,2.0,18.0,21,0,2020
Will Harris,3.06,17.2,20,0,2020
Rafael Montero,4.08,17.2,17,0,2020
Jacob Waguespack,8.15,17.2,11,0,2020
Josh James,7.27,17.1,13,2,2020
Luis Pati\xc3\xb1o,5.19,17.1,11,1,2020
Jesse Hahn,0.52,17.1,18,0,2020
Luis Perdomo,5.71,17.1,10,1,2020
Taylor Hearn,3.63,17.1,14,0,2020
Kyle Funkhouser,7.27,17.1,13,0,2020
Rowan Wick,3.12,17.1,19,0,2020
Cy Sneed,5.71,17.1,18,0,2020
David Hale,3.71,17.0,11,2,2020
Tanner Houck,0.53,17.0,3,3,2020
Pedro B\xc3\xa1ez,3.18,17.0,18,0,2020
Jesse Chavez,6.88,17.0,18,0,2020
Dennis Santana,5.29,17.0,12,0,2020
Cody Ponce,3.18,17.0,5,3,2020
Jeff Samardzija,9.72,16.2,4,4,2020
Richard Bleier,2.16,16.2,21,0,2020
Hansel Robles,10.26,16.2,18,0,2020
Dillon Tate,3.24,16.2,12,0,2020
Ryan Borucki,2.7,16.2,21,0,2020
Nick Anderson,0.55,16.1,19,0,2020
Darren O\'Day,1.1,16.1,19,0,2020
Brady Lail,4.41,16.1,8,0,2020
Walker Lockett,4.96,16.1,7,1,2020
Wilmer Font,9.92,16.1,21,0,2020
Lewis Thorpe,6.06,16.1,7,1,2020
Devin Smeltzer,6.75,16.0,7,1,2020
Will Smith,4.5,16.0,18,0,2020
Kevin Ginkel,6.75,16.0,19,0,2020
Blake Parker,2.81,16.0,14,1,2020
Nick Tropeano,1.15,15.2,7,0,2020
Ljay Newsome,5.17,15.2,5,4,2020
Kyle Ryan,5.17,15.2,18,0,2020
Joey Gerber,4.02,15.2,17,0,2020
John Schreiber,6.32,15.2,15,0,2020
Javy Guerra,4.02,15.2,14,0,2020
Nick Pivetta,6.89,15.2,5,2,2020
Bryse Wilson,4.02,15.2,6,2,2020
Drew Rasmussen,5.87,15.1,12,0,2020
Shaun Anderson,3.52,15.1,18,0,2020
Craig Kimbrel,5.28,15.1,18,0,2020
John Gant,2.4,15.0,17,0,2020
Shawn Armstrong,1.8,15.0,14,0,2020
Cody Stashak,3.0,15.0,11,0,2020
Yimi Garc\xc3\xada,0.6,15.0,14,0,2020
Giovanny Gallegos,3.6,15.0,16,0,2020
Sam Coonrod,9.82,14.2,18,0,2020
Brett Martin,1.84,14.2,15,0,2020
Cam Bedrosian,2.45,14.2,11,0,2020
Jordan Romano,1.23,14.2,15,0,2020
James Hoyt,1.23,14.2,24,0,2020
Carlos Hern\xc3\xa1ndez,4.91,14.2,5,3,2020
Taylor Williams,6.14,14.2,15,0,2020
C\xc3\xa9sar Valdez,1.26,14.1,9,0,2020
Wade Miley,5.65,14.1,6,4,2020
Evan Phillips,5.02,14.1,14,0,2020
Erasmo Ram\xc3\xadrez,0.63,14.1,6,0,2020
Jordan Weems,3.21,14.0,9,0,2020
Caleb Smith,2.57,14.0,5,4,2020
Mike Kickham,7.71,14.0,6,2,2020
Robert Gsellman,9.64,14.0,6,4,2020
Colin Rea,5.79,14.0,9,2,2020
Ian Kennedy,9.0,14.0,15,1,2020
Dylan Covey,7.07,14.0,8,0,2020
Jason Adam,3.29,13.2,13,0,2020
Sean Newcomb,11.2,13.2,4,4,2020
Michael Soroka,3.95,13.2,3,3,2020
Jake Odorizzi,6.59,13.2,4,4,2020
Marcus Walden,9.45,13.1,15,0,2020
Corey Knebel,6.08,13.1,15,0,2020
Hoby Milner,8.1,13.1,19,0,2020
Robert Stock,4.73,13.1,10,0,2020
Corey Oswalt,4.85,13.0,4,1,2020
Andrew Miller,2.77,13.0,16,0,2020
Adam Morgan,5.54,13.0,17,0,2020
Julian Merryweather,4.15,13.0,8,3,2020
Joely Rodr\xc3\xadguez,2.13,12.2,12,0,2020
Alex Wood,6.39,12.2,9,2,2020
Brad Brach,5.84,12.1,14,0,2020
Yoshihisa Hirano,5.84,12.1,13,0,2020
Ian Gibaut,6.57,12.1,14,0,2020
Daniel Mengden,3.65,12.1,4,1,2020
Luis Garcia,2.92,12.1,5,1,2020
Scott Alexander,2.92,12.1,13,0,2020
Ryan Helsley,5.25,12.0,12,0,2020
Keynan Middleton,5.25,12.0,13,0,2020
Burch Smith,2.25,12.0,6,0,2020
Cody Reed,4.5,12.0,11,0,2020
Dellin Betances,7.71,11.2,15,0,2020
Trevor Gott,10.03,11.2,15,0,2020
Seth Elledge,4.63,11.2,12,0,2020
Matt Harvey,11.57,11.2,7,4,2020
Aroldis Chapman,3.09,11.2,13,0,2020
Franklyn Kilome,11.12,11.1,4,0,2020
Yonny Chirinos,2.38,11.1,3,3,2020
Adam Cimber,3.97,11.1,14,0,2020
Connor Brogdon,3.97,11.1,9,0,2020
Jordan Yamamoto,18.26,11.1,4,3,2020
T.J. Zeuch,1.59,11.1,3,1,2020
Conner Menez,2.38,11.1,7,0,2020
Dakota Bacus,7.94,11.1,11,0,2020
Kyle McGowin,4.91,11.0,9,0,2020
Oliver Drake,5.73,11.0,11,0,2020
Stephen Tarpley,9.0,11.0,12,0,2020
Eric Lauer,13.09,11.0,4,2,2020
Kyle Hart,15.55,11.0,4,3,2020
Nick Goody,9.0,11.0,17,1,2020
Nick Ramirez,5.91,10.2,5,0,2020
Robert Dugger,12.66,10.2,4,1,2020
Humberto Castellanos,6.75,10.2,8,0,2020
JoJo Romero,7.59,10.2,12,0,2020
Logan Allen,3.38,10.2,3,0,2020
Matt Magill,6.1,10.1,11,0,2020
Carson Fulmer,4.35,10.1,10,0,2020
John King,6.1,10.1,6,0,2020
Jacob Webb,0.0,10.0,8,0,2020
Rico Garcia,5.4,10.0,12,0,2020
Humberto Mej\xc3\xada,5.4,10.0,3,3,2020
Keury Mella,1.8,10.0,11,0,2020
Joe Kelly,1.8,10.0,12,1,2020
Ryne Stanek,7.2,10.0,9,0,2020
Robert Stephenson,9.9,10.0,10,0,2020
Jose Quintana,4.5,10.0,4,1,2020
Andrew Su\xc3\xa1rez,3.72,9.2,6,0,2020
Dominic Leone,8.38,9.2,12,0,2020
Ryan Sherriff,0.0,9.2,10,0,2020
Andrew Chafin,6.52,9.2,15,0,2020
Ram\xc3\xb3n Rosso,6.52,9.2,7,1,2020
Aaron Bummer,0.96,9.1,9,0,2020
Chaz Roe,2.89,9.1,10,0,2020
J.P. Feyereisen,5.79,9.1,6,0,2020
Brandon Leibrandt,2.0,9.0,5,0,2020
Jos\xc3\xa9 Alvarado,6.0,9.0,9,0,2020
Chance Adams,9.35,8.2,6,0,2020
Matt Hall,18.69,8.2,4,1,2020
Hunter Harvey,4.15,8.2,10,0,2020
Jes\xc3\xbas Tinoco,1.04,8.2,6,0,2020
Nivaldo Rodriguez,6.23,8.2,5,0,2020
Darwinzon Hern\xc3\xa1ndez,2.16,8.1,7,0,2020
Tyler Bashlor,8.64,8.1,8,0,2020
Ashton Goudeau,7.56,8.1,4,0,2020
Wil Crowe,11.88,8.1,3,3,2020
Luis Avil\xc3\xa1n,4.32,8.1,10,0,2020
Nabil Crismatt,3.24,8.1,6,0,2020
Nick Neidert,5.4,8.1,4,0,2020
Andrew Triggs,7.56,8.1,5,2,2020
Travis Bergen,3.24,8.1,8,0,2020
Andrew Kittredge,2.25,8.0,8,1,2020
Homer Bailey,3.38,8.0,2,2,2020
Taylor Guilbeau,1.17,7.2,8,0,2020
Justin Topa,2.35,7.2,6,0,2020
Nestor Cortes,15.26,7.2,5,1,2020
Erik Swanson,12.91,7.2,9,0,2020
Braxton Garrett,5.87,7.2,2,2,2020
Sean Poppen,4.7,7.2,6,0,2020
Carlos Rod\xc3\xb3n,8.22,7.2,4,2,2020
Sean Doolittle,5.87,7.2,11,0,2020
Zac Grotz,14.73,7.1,5,0,2020
Chase De Jong,14.73,7.1,3,2,2020
Zack Burdi,11.05,7.1,8,0,2020
Brandon Bailey,2.45,7.1,5,0,2020
Josh Taylor,9.82,7.1,8,0,2020
Brandon Brennan,3.68,7.1,5,0,2020
Ben Braymer,1.23,7.1,3,1,2020
Deolis Guerra,8.59,7.1,9,0,2020
Tyler Thornburg,3.86,7.0,7,0,2020
Drew Smith,6.43,7.0,8,0,2020
Bruce Zimmermann,7.71,7.0,2,1,2020
Miguel Yajure,1.29,7.0,3,0,2020
David Hess,6.43,7.0,3,0,2020
Anthony Banda,10.29,7.0,4,0,2020
Sean Reid-Foley,1.35,6.2,5,0,2020
Austin Davis,10.8,6.2,9,0,2020
Beau Burrows,5.4,6.2,5,0,2020
Cionel P\xc3\xa9rez,2.84,6.1,7,0,2020
David Bednar,7.11,6.1,4,0,2020
Clarke Schmidt,7.11,6.1,3,1,2020
Zack Littell,9.95,6.1,6,0,2020
Jonathan Stiever,9.95,6.1,2,2,2020
Jos\xc3\xa9 \xc3\x81lvarez,1.42,6.1,8,0,2020
Ryan Buchter,4.5,6.0,10,0,2020
Patrick Murphy,1.5,6.0,4,0,2020
Justin Verlander,3.0,6.0,1,1,2020
Ben Heller,3.0,6.0,6,0,2020
Phillip Diehl,10.5,6.0,6,0,2020
Jos\xc3\xa9 De Le\xc3\xb3n,18.0,6.0,5,0,2020
Garrett Crochet,0.0,6.0,5,0,2020
Paul Sewald,13.5,6.0,5,0,2020
Bryan Shaw,18.0,6.0,6,0,2020
Antonio Santos,16.5,6.0,3,1,2020
Kevin McCarthy,4.5,6.0,5,0,2020
Paolo Espino,4.5,6.0,2,1,2020
Kyle Crick,1.59,5.2,7,0,2020
Justin Shafer,12.71,5.2,5,0,2020
Gabe Speier,7.94,5.2,8,0,2020
Jordan Zimmermann,7.94,5.2,3,2,2020
Edinson V\xc3\xb3lquez,6.35,5.2,7,0,2020
Trent Thornton,11.12,5.2,3,3,2020
Joey Lucchesi,7.94,5.2,3,2,2020
James Pazos,16.88,5.1,6,0,2020
Mike Montgomery,5.06,5.1,3,1,2020
Reggie McClain,5.06,5.1,5,0,2020
Luke Bard,6.75,5.1,6,0,2020
